,title,health,ingredients,weight,price,image
0,Green Tea Stick (Pack of 9 individually wrapped 2g each tea sticks),"Slimming, high in anti-oxidant (anti-aging), helps overall immune system.",Whole leaves Green Tea,1 Stick  = 2 grams,Rs. 310 / pk,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Stick_2_1000x.jpg?v=1582618217
1,Organic Chamomile Flower Tea        100G,"Induces sleep, Relaxation, Good for skin and eyes, Aids digestion, Relieves stress.",Whole Flowers,100 gms | 50 cups,Rs. 1170 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Chamomile_Tea_1000x.jpg?v=1623055865
2,Chamomile Lavender Jazz              50G,1. Packed with anti-oxidants 2. Removes toxins 3. Promotes relaxation 4. Digestive care 5. Detoxifies the body,"Yellow Chrysanthemum petals, German Chamomile, French Lavender buds","Tea Tin, 50 gms = 34 cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/ChamomileJazz_1000x.jpg?v=1597054662
6,Natural Moringa Cleanse                         50G,1. Rich in antioxidants 2. Good for joints 3. Prevents sleep disorders 4. Aids weight loss 5. Boosts immune system 6. Lowers cholesterol 7. Promotes detoxification 8. Controls mood swings.,"Moringa, Star Anise, Cinnamon, Lemongrass","Tea Tin, 50 gms = 34 cups",Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Moringa_1000x.jpg?v=1597920209
8,Sweet Chamomile Escape                       50G,1. Helps fight anxiety 2. Depression 3. Cures insomnia 4. Aids skin disorders 5. Improves memory 6. Relieves stress 7. Boosts immunity 8. Good for eyes,"German Chamomile, Yellow Chrysanthemum petals, Blue Corn petals, Rosemary","Tea Tin, 50 gms = 34 cups",Rs. 650 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetChamomile_1000x.jpg?v=1597054047
9,Soothsayer's Chant Tea Blend,"Good for nervous system, Lowers cholesterol, Good for digestion, Prevents insomnia, Anti-depression, Aids skin, Stomach disorders, Promotes relaxation.","Organic German Chamomile, Lemongrass, Mint","Tea Pouch, 50 gms = 34 cups",Rs. 750 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD37_1000x.png?v=1573887685
10,Moroccan Mint              100G,1. Good for the immune system 2. Hormonal imbalances 3. Memory 4. Nausea 5. Muscle pain 6. Detoxifying the body 7. Respiratory issues 8. Bad breath 9. Weight loss.,"Spearmint, Gingermint, Peppermint","Tea Pouch, 100 gms = 100 Cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Morrocanmint_1000x.jpg?v=1597919785
12,"Tasty Irani Chai       Tea Tin, 75g",1. Good for heart 2. Lowers cholesterol 3. Prevents nausea 4. Clears common cold 5. Aids digestion 6. Protects liver 7. Boosts immune system 8. Good for oral health 9. Good for skin.,"Ceylon Black Tea, Cardamom, Cloves","Tea Tin, 75gms = 51 cups","Rs.1,170 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TastyIranichai_1000x.jpg?v=1597053268
13,Rare Silver Needle White Rose Tea Tin  75G,1. Packed with antioxidants 2. Good for skin and menopause 3. Liver health 4. Anti-anxiety properties 5. Reduces stress 6. Boosts immunity 7. Aids digestion 8. Promotes weight loss,"Organic White Silverneedle buds, French Pink Rose buds",75 gms = 99 cups,"Rs. 2,210 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/RareSilverneedle_1000x.jpg?v=1597054123
14,Kashmir French Lavender Bud - Argent Flower Tea Tin                      100G,"Promotes relaxation, Aids digestion, Eases convulsions and spasms, Promotes mental wellbeing, Good for insomnia.",Whole Flowers,100 gms | 100 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09884_1000x.jpg?v=1633928032
